CONF#  E(GFNn-xTB) ΔE(GFNn-xTB)       E [Eh]         Gtot      ΔGtot Boltzmannweight
            [a.u.]   [kcal/mol]        hf-3c         [Eh] [kcal/mol]   % at 298.15 K
                                                                                    
CONF1  -49.5129423         0.00 -653.8912382 -653.8912382       0.00           93.04     <------
CONF2  -49.5118868         0.66 -653.8887536 -653.8887536       1.56            6.70
CONF5  -49.5065836         3.99 -653.8856922 -653.8856922       3.48            0.26
