 CONF#  E(GFNn-xTB) ΔE(GFNn-xTB)            E [Eh]   Gsolv [Eh]  GmRRHO [Eh]         Gtot      ΔGtot Boltzmannweight
             [a.u.]   [kcal/mol] wb97m-v/def2-TZVP   incl. in E         GFN2         [Eh] [kcal/mol]   % at 298.15 K
                                             [SMD]                    [alpb]                                        
CONF1   -46.1441968         0.00      -657.8087938    0.0000000    0.2628006 -657.5459932      1.836            2.92
CONF2   -46.1439952         0.13      -657.8119192    0.0000000    0.2629995 -657.5489197      0.000           64.74     <------
CONF3   -46.1424106         1.12      -657.8080162    0.0000000    0.2621816 -657.5458346      1.936            2.47
CONF4   -46.1419727         1.40      -657.8086683    0.0000000    0.2622333 -657.5464350      1.559            4.66
CONF5   -46.1410701         1.96      -657.8077476    0.0000000    0.2616622 -657.5460854      1.779            3.22
CONF8   -46.1395380         2.92      -657.8086442    0.0000000    0.2617539 -657.5468903      1.273            7.55
CONF9   -46.1391720         3.15      -657.8081314    0.0000000    0.2620237 -657.5461076      1.765            3.29
CONF15  -46.1384442         3.61      -657.8073677    0.0000000    0.2621480 -657.5452198      2.322            1.29
CONF16  -46.1380251         3.87      -657.8078771    0.0000000    0.2613890 -657.5464880      1.526            4.93
CONF19  -46.1379610         3.91      -657.8071085    0.0000000    0.2614248 -657.5456837      2.031            2.10
CONF21  -46.1377308         4.06      -657.8066423    0.0000000    0.2613942 -657.5452481      2.304            1.33
CONF29  -46.1369988         4.52      -657.8071984    0.0000000    0.2618244 -657.5453740      2.225            1.51
