contribution of conformer 1: 1.00
1	C	150.1599
2	C	153.8205
3	C	169.6185
4	C	156.2425
5	C	152.4076
6	C	114.2205
7	C	131.8773
8	C	152.0809
9	C	167.6747
10	C	140.3644
12	C	113.1535
16	C	175.164
17	C	164.2368
18	C	172.5411
19	C	168.8031
13	H	29.4672
14	H	28.9527
15	H	28.1865
20	H	29.9324
21	H	30.3373
22	H	30.0988
23	H	30.1258
24	H	30.576
25	H	29.9134
26	H	30.1054
27	H	30.1112
28	H	29.9824
29	H	29.951
30	H	29.8066
31	H	31.0759
32	H	29.9633
33	H	30.8775
34	H	30.4376
35	H	30.4668
36	H	30.2799
37	H	30.5778
38	H	30.6472
39	H	30.1405
40	H	30.3779
41	H	30.4249
42	H	31.2356
31/32/33	Me	30.638900000000003
34/35/36	Me	30.394766666666666
37/38/39	Me	30.455166666666667
40/41/42	Me	30.67946666666667
