contribution of conformer 1: 0.52
contribution of conformer 2: 0.48
1	C	171.54416054696932
2	C	160.80740808672715
3	C	81.51276860437684
4	C	72.36116457200812
5	C	84.16922001804483
6	C	56.34023962388379
7	C	65.65410706214267
8	C	72.93529213770056
10	C	139.19242324799154
11	C	135.85931251437668
12	C	145.1847105261122
13	C	152.54035378481865
14	C	150.9814220232343
15	C	105.74920475696118
16	C	63.82906897766793
17	C	76.90125206496137
18	C	130.54887333201836
20	C	127.05141359986561
21	C	149.49796466729694
24	C	26.446242919799676
27	C	143.71368399966406
