  14 28.876
  17 29.736
  18 29.609
  19 29.082
  20 29.981
  21 28.758
  22 27.781
  23 29.011
  24 29.262
  25 28.16
  26 27.949
  27 27.46
  28 26.566
  29 26.431
  30 26.338
  31 25.993
  32 30.286
  33 29.12
  34 29.736
  35 29.679















  14   17   0.771
  14   18   7.482
  14   19   -0.623
  14   20   0.629
  14   21   0.535
  14   22   0.71
  14   23   -0.415
  14   24   -0.233
  14   25   0.01
  14   26   -0.596
  14   27   -0.223
  14   28   0.008
  14   29   0.039
  14   30   0.091
  14   31   -1.101
  14   32   0.045
  14   33   -0.676
  14   34   -0.846
  14   35   0.581
  17   18   -15.301
  17   19   5.6
  17   20   1.342
  17   21   0.773
  17   22   0.776
  17   23   -0.032
  17   24   0.077
  17   25   0.003
  17   26   0.672
  17   27   -0.016
  17   28   -0.004
  17   29   0.024
  17   30   0.006
  17   31   -0.129
  17   32   -0.002
  17   33   -0.005
  17   34   0.126
  17   35   0.105
  18   19   14.2
  18   20   6.215
  18   21   -0.557
  18   22   0.101
  18   23   -0.076
  18   24   0.579
  18   25   0.009
  18   26   -0.045
  18   27   0.046
  18   28   -0.039
  18   29   -0.016
  18   30   -0.232
  18   31   -0.1
  18   32   -0.007
  18   33   -0.085
  18   34   -0.107
  18   35   0.144
  19   20   -14.053
  19   21   2.347
  19   22   -0.402
  19   23   -0.125
  19   24   -0.445
  19   25   0.015
  19   26   -0.017
  19   27   -0.007
  19   28   0.126
  19   29   -0.07
  19   30   -0.01
  19   31   -0.546
  19   32   0.001
  19   33   -0.037
  19   34   -0.033
  19   35   -0.011
  20   21   4.189
  20   22   0.833
  20   23   0.091
  20   24   0.142
  20   25   -0.02
  20   26   -0.022
  20   27   -0.023
  20   28   0.148
  20   29   0.102
  20   30   0.024
  20   31   -0.015
  20   32   -0.001
  20   33   -0.041
  20   34   -0.029
  20   35   0.054
  21   22   5.062
  21   23   -1.109
  21   24   0.114
  21   25   -0.049
  21   26   -0.065
  21   27   -0.059
  21   28   -0.966
  21   29   -0.991
  21   30   0.01
  21   31   0.014
  21   32   -0.084
  21   33   0.009
  21   34   0.012
  21   35   -0.008
  22   23   -0.027
  22   24   0.043
  22   25   12.428
  22   26   -0.353
  22   27   -0.224
  22   28   0.006
  22   29   0.053
  22   30   -0.134
  22   31   -0.012
  22   32   0.028
  22   33   -0.072
  22   34   -0.095
  22   35   -0.001
  23   24   -18.401
  23   25   -0.263
  23   26   -0.139
  23   27   -0.041
  23   28   -2.224
  23   29   -2.608
  23   30   0.071
  23   31   0.02
  23   32   -0.113
  23   33   -0.011
  23   34   0.005
  23   35   -0.0
  24   25   0.187
  24   26   -0.368
  24   27   0.217
  24   28   -2.665
  24   29   -3.147
  24   30   0.068
  24   31   0.041
  24   32   0.014
  24   33   -0.05
  24   34   -0.009
  24   35   0.042
  25   26   -0.013
  25   27   0.023
  25   28   -0.043
  25   29   -0.019
  25   30   -0.037
  25   31   -0.843
  25   32   -0.013
  25   33   -0.043
  25   34   -0.005
  25   35   0.0
  26   27   -12.737
  26   28   -0.006
  26   29   -0.0
  26   30   -0.021
  26   31   -0.009
  26   32   2.187
  26   33   0.033
  26   34   0.076
  26   35   -0.021
  27   28   0.043
  27   29   0.246
  27   30   -0.006
  27   31   0.004
  27   32   15.893
  27   33   -0.303
  27   34   0.009
  27   35   0.026
  28   29   0.283
  28   31   -0.004
  28   32   0.005
  28   33   -0.0
  28   34   0.001
  29   30   0.009
  29   31   -0.003
  29   32   0.01
  29   33   -0.002
  29   34   -0.001
  30   31   0.14
  30   32   -0.013
  30   33   -1.689
  30   34   -2.553
  30   35   -0.437
  31   32   -0.01
  31   33   -1.311
  31   34   -1.833
  31   35   0.594
  32   33   -0.123
  32   34   -0.039
  32   35   0.051
  33   34   -19.257
  33   35   -12.338
  34   35   -13.572
