CONF#  E(GFNn-xTB) ΔE(GFNn-xTB)       E [Eh]         Etot      ΔEtot
            [a.u.]   [kcal/mol]    r2scan-3c         [Eh] [kcal/mol]
                                                                    
CONF1  -49.5083286         0.00 -662.3138269 -662.3138269       0.00     <------
CONF2  -49.5053944         1.84 -662.3094161 -662.3094161       2.77
CONF3  -49.5045744         2.36 -662.3096113 -662.3096113       2.65
CONF4  -49.5034626         3.05 -662.3099847 -662.3099847       2.41
CONF5  -49.5024514         3.69 -662.3062023 -662.3062023       4.78
CONF6  -49.5011072         4.53 -662.3070519 -662.3070519       4.25
CONF7  -49.5003764         4.99 -662.3055116 -662.3055116       5.22
