  14 28.828
  17 30.127
  18 29.678
  19 29.471
  20 29.854
  21 28.736
  22 26.866
  23 29.095
  24 29.354
  25 29.433
  26 27.603
  27 27.704
  28 26.555
  29 26.476
  30 26.594
  31 26.415
  32 29.213
  33 29.494
  34 29.424
  35 29.619















  14   17   0.649
  14   18   7.575
  14   19   -0.602
  14   20   0.965
  14   21   0.228
  14   22   -0.364
  14   23   -0.211
  14   24   -0.42
  14   25   -0.076
  14   26   -0.341
  14   27   -0.137
  14   28   0.013
  14   29   0.034
  14   30   0.245
  14   31   -0.76
  14   32   0.149
  14   33   -0.552
  14   34   -0.733
  14   35   1.275
  17   18   -15.501
  17   19   5.843
  17   20   1.207
  17   21   0.434
  17   22   0.127
  17   23   -0.025
  17   24   -0.051
  17   25   0.095
  17   26   0.162
  17   27   0.701
  17   28   -0.004
  17   29   0.025
  17   30   0.215
  17   31   0.093
  17   32   0.028
  17   33   -0.215
  17   34   0.133
  17   35   -0.024
  18   19   13.754
  18   20   6.437
  18   21   -0.536
  18   22   -0.005
  18   23   0.415
  18   24   -0.113
  18   25   0.012
  18   26   0.033
  18   27   -0.079
  18   28   -0.029
  18   29   -0.009
  18   30   0.154
  18   31   -0.122
  18   32   0.036
  18   33   0.002
  18   34   0.198
  18   35   -0.123
  19   20   -13.532
  19   21   2.373
  19   22   -0.237
  19   23   -0.459
  19   24   -0.075
  19   25   -0.072
  19   26   -0.008
  19   27   -0.004
  19   28   0.075
  19   29   -0.079
  19   30   -0.055
  19   31   -0.049
  19   32   0.002
  19   33   -0.374
  19   34   0.126
  19   35   0.161
  20   21   4.754
  20   22   0.08
  20   23   0.158
  20   24   0.084
  20   25   0.629
  20   26   -0.037
  20   27   -0.009
  20   28   0.124
  20   29   0.083
  20   30   0.031
  20   31   -0.033
  20   32   0.001
  20   33   -0.046
  20   34   0.109
  20   35   0.15
  21   22   0.811
  21   23   0.33
  21   24   -1.366
  21   25   -0.025
  21   26   0.907
  21   27   -0.073
  21   28   -1.137
  21   29   -1.063
  21   30   -0.011
  21   31   -0.006
  21   32   0.011
  21   33   0.006
  21   34   0.007
  21   35   0.015
  22   23   -0.641
  22   24   1.157
  22   25   2.399
  22   26   -0.424
  22   27   -0.068
  22   28   0.788
  22   29   0.227
  22   30   -0.007
  22   31   -0.008
  22   32   -0.001
  22   33   0.016
  22   34   -0.633
  22   35   0.001
  23   24   -18.505
  23   25   0.044
  23   26   -0.227
  23   27   -0.494
  23   28   -2.661
  23   29   -3.118
  23   30   0.021
  23   31   -0.036
  23   32   0.017
  23   33   0.002
  23   34   -0.066
  23   35   0.029
  24   25   0.05
  24   26   0.003
  24   27   -0.207
  24   28   -2.073
  24   29   -2.423
  24   30   -0.004
  24   31   0.003
  24   32   0.038
  24   33   -0.003
  24   34   -0.009
  24   35   0.013
  25   26   0.044
  25   27   -0.093
  25   28   0.014
  25   29   0.016
  25   30   0.004
  25   31   0.003
  25   32   -0.064
  25   33   -0.001
  25   34   -0.005
  25   35   0.0
  26   27   -13.042
  26   28   -0.012
  26   29   -0.042
  26   30   0.077
  26   31   -0.026
  26   32   3.307
  26   33   -0.01
  26   34   -0.022
  26   35   -0.006
  27   28   -0.021
  27   29   -0.007
  27   30   0.057
  27   31   -0.028
  27   32   14.751
  27   33   0.035
  27   34   0.02
  27   35   -0.014
  28   29   0.346
  28   31   0.0
  28   32   -0.008
  28   33   -0.003
  28   34   -0.003
  29   31   -0.002
  29   32   -0.021
  29   33   -0.002
  29   34   -0.002
  29   35   0.014
  30   31   1.882
  30   32   0.005
  30   33   -2.068
  30   34   -2.296
  30   35   -0.452
  31   32   0.052
  31   33   -1.179
  31   34   -1.997
  31   35   0.638
  32   33   0.118
  32   34   0.101
  32   35   -0.002
  33   34   -18.098
  33   35   -13.398
  34   35   -13.869
