CONF#  E(GFNn-xTB) ΔE(GFNn-xTB)            E [Eh]   Gsolv [Eh]  GmRRHO [Eh]          Gtot      ΔGtot Boltzmannweight
            [a.u.]   [kcal/mol] wb97m-v/def2-TZVP   incl. in E         GFN2          [Eh] [kcal/mol]   % at 298.15 K
                                            [SMD]                    [alpb]                                         
CONF1  -75.2361151         0.00     -1149.8303511    0.0000000    0.3646548 -1149.4656963      0.036           46.55
CONF2  -75.2358757         0.15     -1149.8303811    0.0000000    0.3646277 -1149.4657533      0.000           49.45     <------
CONF3  -75.2343749         1.09     -1149.8272670    0.0000000    0.3638884 -1149.4633786      1.490            4.00
