contribution of conformer 1: 0.97
contribution of conformer 2: 0.01
contribution of conformer 3: 0.01
contribution of conformer 4: 0.01
1	C	144.98637111776975
2	C	154.8652710841939
3	C	165.215107360355
4	C	158.31314753710356
5	C	155.30915137331667
6	C	111.61078839018877
7	C	133.7095261998512
8	C	143.57143681436455
9	C	164.2884131716402
10	C	137.45949108351724
12	C	113.41449417888157
16	C	165.20206037420883
17	C	165.1456262064271
18	C	162.30054865249713
19	C	162.25330978301787
13	H	29.403766882421976
14	H	28.996356472952513
15	H	27.699924740259778
20	H	30.51834725718247
21	H	29.716312099545796
22	H	30.085167271928178
23	H	30.230865752059078
24	H	29.5684458614405
25	H	30.470168983987712
26	H	29.764647323338465
27	H	30.20691836781495
28	H	30.25984991654745
29	H	29.856697022826186
30	H	30.25417080343236
31	H	30.841299000171965
32	H	30.964150609773384
33	H	30.307136616568428
34	H	30.31995381855586
35	H	30.76143711344876
36	H	30.36709507727158
37	H	30.240662741786572
38	H	30.794916840930156
39	H	30.853587214277372
40	H	30.050100673584417
41	H	31.091690277105837
42	H	30.79743036379429
31/32/33	Me	30.704195408837922
34/35/36	Me	30.48282866975873
37/38/39	Me	30.6297222656647
40/41/42	Me	30.64640710482818
