CONF#  E(GFNn-xTB) ΔE(GFNn-xTB)            E [Eh]         Gtot      ΔGtot Boltzmannweight
            [a.u.]   [kcal/mol] wb97m-v/def2-TZVP         [Eh] [kcal/mol]   % at 298.15 K
                                                                                         
CONF1  -49.5083286         0.00      -662.4123248 -662.4123248      0.000           96.65     <------
CONF3  -49.5045744         2.36      -662.4083607 -662.4083607      2.488            1.45
CONF4  -49.5034626         3.05      -662.4086137 -662.4086137      2.329            1.90
