CONF#  E(GFNn-xTB) ΔE(GFNn-xTB)       E [Eh]         Gtot      ΔGtot Boltzmannweight
            [a.u.]   [kcal/mol]        hf-3c         [Eh] [kcal/mol]   % at 298.15 K
                                                                                    
CONF1  -49.5083286         0.00 -653.8863557 -653.8863557       0.00           96.01     <------
CONF3  -49.5045744         2.36 -653.8821744 -653.8821744       2.62            1.15
CONF4  -49.5034626         3.05 -653.8830331 -653.8830331       2.08            2.84
