CONF#  G(GFNn-xTB) ΔG(GFNn-xTB)        E [Eh]          Gtot      ΔGtot
            [a.u.]   [kcal/mol]     r2scan-3c          [Eh] [kcal/mol]
                                                                      
CONF1  -72.5152764         0.00 -1043.7426820 -1043.7426820       0.00     <------
CONF2  -72.5148702         0.25 -1043.7413991 -1043.7413991       0.81
CONF3  -72.5137869         0.93 -1043.7420662 -1043.7420662       0.39
CONF4  -72.5134849         1.12 -1043.7408923 -1043.7408923       1.12
CONF7  -72.5121934         1.93 -1043.7364780 -1043.7364780       3.89
