CONF#  E(GFNn-xTB) ΔE(GFNn-xTB)       E [Eh]         Etot      ΔEtot
            [a.u.]   [kcal/mol]        hf-3c         [Eh] [kcal/mol]
                                                                    
CONF1  -67.4748886         0.00 -955.2029631 -955.2029631       0.13
CONF2  -67.4742941         0.37 -955.2031641 -955.2031641       0.00     <------
CONF3  -67.4657798         5.72 -955.1907530 -955.1907530       7.79
