 CONF#  E(GFNn-xTB) ΔE(GFNn-xTB)            E [Eh]   Gsolv [Eh]  GmRRHO [Eh]         Gtot      ΔGtot Boltzmannweight
             [a.u.]   [kcal/mol] wb97m-v/def2-TZVP   incl. in E         GFN2         [Eh] [kcal/mol]   % at 298.15 K
                                             [SMD]                    [alpb]                                        
CONF1   -46.1474859         0.00      -657.8121897    0.0000000    0.2621850 -657.5500047      1.605            1.58
CONF2   -46.1460742         0.89      -657.8123149    0.0000000    0.2619499 -657.5503650      1.379            2.31
CONF3   -46.1450225         1.55      -657.8130551    0.0000000    0.2615719 -657.5514832      0.677            7.56
CONF4   -46.1449677         1.58      -657.8105855    0.0000000    0.2616370 -657.5489485      2.268            0.52
CONF5   -46.1445571         1.84      -657.8103370    0.0000000    0.2617952 -657.5485419      2.523            0.34
CONF6   -46.1434412         2.54      -657.8132223    0.0000000    0.2612327 -657.5519896      0.359           12.93
CONF7   -46.1432396         2.66      -657.8112338    0.0000000    0.2611938 -657.5500400      1.583            1.64
CONF8   -46.1432193         2.68      -657.8124860    0.0000000    0.2615985 -657.5508875      1.051            4.02
CONF9   -46.1430347         2.79      -657.8098508    0.0000000    0.2614170 -657.5484339      2.591            0.30
CONF10  -46.1429479         2.85      -657.8142105    0.0000000    0.2616484 -657.5525621      0.000           23.71     <------
CONF11  -46.1428922         2.88      -657.8111973    0.0000000    0.2614723 -657.5497250      1.780            1.17
CONF12  -46.1427415         2.98      -657.8107505    0.0000000    0.2613419 -657.5494085      1.979            0.84
CONF13  -46.1422913         3.26      -657.8117091    0.0000000    0.2614566 -657.5502525      1.449            2.05
CONF14  -46.1422005         3.32      -657.8097206    0.0000000    0.2616211 -657.5480995      2.800            0.21
CONF15  -46.1421306         3.36      -657.8113963    0.0000000    0.2610666 -657.5503297      1.401            2.23
CONF17  -46.1415190         3.74      -657.8106992    0.0000000    0.2616425 -657.5490567      2.200            0.58
CONF18  -46.1415106         3.75      -657.8122859    0.0000000    0.2612851 -657.5510009      0.980            4.54
CONF21  -46.1412169         3.93      -657.8116767    0.0000000    0.2607661 -657.5509105      1.036            4.12
CONF24  -46.1406604         4.28      -657.8122610    0.0000000    0.2606465 -657.5516145      0.595            8.69
CONF25  -46.1404025         4.44      -657.8116094    0.0000000    0.2611054 -657.5505040      1.291            2.68
CONF26  -46.1402638         4.53      -657.8105225    0.0000000    0.2612491 -657.5492734      2.064            0.73
CONF27  -46.1402195         4.56      -657.8113106    0.0000000    0.2608625 -657.5504481      1.327            2.53
CONF29  -46.1400108         4.69      -657.8103616    0.0000000    0.2608988 -657.5494629      1.945            0.89
CONF34  -46.1389144         5.38      -657.8113498    0.0000000    0.2610381 -657.5503117      1.412            2.19
CONF35  -46.1388748         5.40      -657.8115482    0.0000000    0.2610021 -657.5505460      1.265            2.80
CONF37  -46.1387745         5.47      -657.8096713    0.0000000    0.2608291 -657.5488422      2.334            0.46
CONF40  -46.1386266         5.56      -657.8122737    0.0000000    0.2608871 -657.5513866      0.738            6.83
CONF41  -46.1383285         5.75      -657.8106174    0.0000000    0.2606293 -657.5499882      1.615            1.55
