CONF#  E(GFNn-xTB) ΔE(GFNn-xTB)       E [Eh]         Etot      ΔEtot
            [a.u.]   [kcal/mol]    r2scan-3c         [Eh] [kcal/mol]
                                                                    
CONF1  -49.5083285         0.00 -662.3138269 -662.3138269       0.00     <------
CONF2  -49.5053944         1.84 -662.3094136 -662.3094136       2.77
CONF3  -49.5045744         2.36 -662.3096114 -662.3096114       2.65
CONF4  -49.5034624         3.05 -662.3099855 -662.3099855       2.41
CONF5  -49.5024513         3.69 -662.3062041 -662.3062041       4.78
CONF6  -49.5011074         4.53 -662.3070507 -662.3070507       4.25
CONF7  -49.5003764         4.99 -662.3055117 -662.3055117       5.22
