CONF#  E(GFNn-xTB) ΔE(GFNn-xTB)            E [Eh]          Gtot      ΔGtot Boltzmannweight
            [a.u.]   [kcal/mol] wb97m-v/def2-TZVP          [Eh] [kcal/mol]   % at 298.15 K
                                                                                          
CONF1  -72.5152765         0.00     -1043.9334138 -1043.9334138      0.000           48.18     <------
CONF2  -72.5148702         0.25     -1043.9325323 -1043.9325323      0.553           18.94
CONF3  -72.5137870         0.93     -1043.9326949 -1043.9326949      0.451           22.50
CONF4  -72.5134849         1.12     -1043.9319455 -1043.9319455      0.921           10.17
CONF5  -72.5134182         1.17     -1043.9282336 -1043.9282336      3.251            0.20
