CONF#  E(GFNn-xTB) ΔE(GFNn-xTB)        E [Eh]          Gtot      ΔGtot Boltzmannweight
            [a.u.]   [kcal/mol]         hf-3c          [Eh] [kcal/mol]   % at 298.15 K
                                                                                      
CONF1  -72.5152765         0.00 -1030.6906469 -1030.6906469       0.00           49.30     <------
CONF2  -72.5148702         0.25 -1030.6899642 -1030.6899642       0.43           23.93
CONF3  -72.5137870         0.93 -1030.6895405 -1030.6895405       0.69           15.28
CONF4  -72.5134849         1.12 -1030.6890553 -1030.6890553       1.00            9.14
CONF5  -72.5134182         1.17 -1030.6868167 -1030.6868167       2.40            0.85
CONF6  -72.5123825         1.82 -1030.6863057 -1030.6863057       2.72            0.50
CONF7  -72.5121935         1.93 -1030.6866009 -1030.6866009       2.54            0.68
CONF8  -72.5110123         2.68 -1030.6859134 -1030.6859134       2.97            0.33
