contribution of conformer 1: 1.00
1	C	146.9152
2	C	157.7327
3	C	168.7841
4	C	162.4965
5	C	157.667
6	C	114.498
7	C	136.085
8	C	148.0559
9	C	167.9971
10	C	139.6834
12	C	115.7301
16	C	171.1658
17	C	170.5802
18	C	168.2269
19	C	167.9067
13	H	29.3555
14	H	28.9629
15	H	27.5858
20	H	30.4675
21	H	29.5692
22	H	29.8908
23	H	30.102
24	H	29.505
25	H	30.3588
26	H	29.6318
27	H	30.0709
28	H	30.2092
29	H	29.7136
30	H	30.1194
31	H	30.6785
32	H	30.7639
33	H	30.1732
34	H	30.2001
35	H	30.6782
36	H	30.2757
37	H	30.7937
38	H	30.6794
39	H	30.013
40	H	29.8936
41	H	30.9128
42	H	30.7427
31/32/33	Me	30.538533333333334
34/35/36	Me	30.384666666666664
37/38/39	Me	30.49536666666667
40/41/42	Me	30.516366666666666
