contribution of conformer 1: 0.10
contribution of conformer 2: 0.90
1	C	147.23638122764586
2	C	149.34552455693643
3	C	166.5468303250547
4	C	152.27997902299524
5	C	148.60558045979946
6	C	111.03657811390508
7	C	129.6479894092476
8	C	148.52981388733014
9	C	163.8334292937845
10	C	138.90250722571918
12	C	111.77344757221896
16	C	170.2358953333405
17	C	159.72063385559437
18	C	168.21273625261372
19	C	163.49759933613663
13	H	29.44039534460534
14	H	29.052670903783376
15	H	28.096947722994422
20	H	30.03599999566737
21	H	30.44146978152794
22	H	30.303043018207795
23	H	30.202261629388133
24	H	30.680817439532937
25	H	30.016597669703092
26	H	30.22205348764663
27	H	30.266751182478966
28	H	30.150874427390818
29	H	30.10142912741155
30	H	29.983062775906284
31	H	30.128577793290592
32	H	30.949667549148433
33	H	31.159526752921835
34	H	30.589925593405795
35	H	30.66621629648089
36	H	30.465729037292878
37	H	30.747266277850585
38	H	30.62638722452698
39	H	30.260649985702322
40	H	30.569765124400227
41	H	30.580880223237948
42	H	31.269703507143458
31/32/33	Me	30.745924031786956
34/35/36	Me	30.57395697572652
37/38/39	Me	30.544767829359966
40/41/42	Me	30.806782951593878
